Ano,Categoria,Produto,Quantidade(L)
1970,VINHO DE MESA,Tinto,83.300.735
1970,VINHO DE MESA,Rosado,107.681
1970,VINHO DE MESA,Branco,14.919.190
1970,VINHO FINO DE MESA,Tinto,435.354
1970,VINHO FINO DE MESA,Rosado,183.234
1970,VINHO FINO DE MESA,Branco,3.812.041
1970,VINHO ESPECIAL,Tinto,4.730.346
1970,VINHO ESPECIAL,Rosado,1.229.564
1970,VINHO ESPECIAL,Branco,1.365.879
1970,ESPUMANTES,Espumante  Moscatel,-
1970,ESPUMANTES,Espumante,-
1970,ESPUMANTES,Espumante Orgânico,-
1970,SUCO DE UVAS,Suco Natural Integral,-
1970,SUCO DE UVAS,Suco Adoçado,-
1970,SUCO DE UVAS,Suco Reprocessado/reconstituido,-
1970,SUCO DE UVAS,Suco Orgânico,-
1970,SUCO DE UVAS,Outros sucos de uvas,-
1970,OUTROS PRODUTOS COMERCIALIZADOS,Outros vinhos (sem informação detalhada),-
1970,OUTROS PRODUTOS COMERCIALIZADOS,"Agrin (fermentado, acetico misto)",-
1970,OUTROS PRODUTOS COMERCIALIZADOS,Aguardente de vinho 50°gl,-
1970,OUTROS PRODUTOS COMERCIALIZADOS,Alcool vinico,-
1970,OUTROS PRODUTOS COMERCIALIZADOS,Bagaceira (graspa),1.192.987
1970,OUTROS PRODUTOS COMERCIALIZADOS,Base champenoise champanha,-
1970,OUTROS PRODUTOS COMERCIALIZADOS,Base charmat champanha,-
1970,OUTROS PRODUTOS COMERCIALIZADOS,Base espumante moscatel,-
1970,OUTROS PRODUTOS COMERCIALIZADOS,Bebida de uva,-
1970,OUTROS PRODUTOS COMERCIALIZADOS,Borra líquida,-
1970,OUTROS PRODUTOS COMERCIALIZADOS,Borra seca,-
1970,OUTROS PRODUTOS COMERCIALIZADOS,Brandy (conhaque),9.388.296
1970,OUTROS PRODUTOS COMERCIALIZADOS,Cooler,-
1970,OUTROS PRODUTOS COMERCIALIZADOS,Coquetel com vinho,-
1970,OUTROS PRODUTOS COMERCIALIZADOS,Destilado de vinho,533.987
1970,OUTROS PRODUTOS COMERCIALIZADOS,Filtrado doce,346.403
1970,OUTROS PRODUTOS COMERCIALIZADOS,Jeropiga,-
1970,OUTROS PRODUTOS COMERCIALIZADOS,Mistelas,178.350
1970,OUTROS PRODUTOS COMERCIALIZADOS,Mosto concentrado,44.971
1970,OUTROS PRODUTOS COMERCIALIZADOS,Mosto de uva,-
1970,OUTROS PRODUTOS COMERCIALIZADOS,Mosto sulfitado,401.030
