Opção,Ano,Países,Quantidade(Kg.),Valor (US$)
Vinhos de mesa,1970,Africa do Sul,-,-
Vinhos de mesa,1970,Alemanha,52.297,30.498
Vinhos de mesa,1970,Argélia,-,-
Vinhos de mesa,1970,Arábia Saudita,-,-
Vinhos de mesa,1970,Argentina,19.525,12.260
Vinhos de mesa,1970,Armênia,-,-
Vinhos de mesa,1970,Austrália,-,-
Vinhos de mesa,1970,Áustria,1.328,707
Vinhos de mesa,1970,Bermudas,-,-
Vinhos de mesa,1970,Bélgica,-,-
Vinhos de mesa,1970,Bolívia,-,-
Vinhos de mesa,1970,Bósnia-Herzegovina,-,-
Vinhos de mesa,1970,Brasil,-,-
Vinhos de mesa,1970,Bulgária,-,-
Vinhos de mesa,1970,Canada,-,-
Vinhos de mesa,1970,Chile,162.370,101.819
Vinhos de mesa,1970,China,-,-
Vinhos de mesa,1970,"Coreia do Sul, República",-,-
Vinhos de mesa,1970,Croácia,-,-
Vinhos de mesa,1970,Cuba,-,-
Vinhos de mesa,1970,Emirados Árabes Unidos,-,-
Vinhos de mesa,1970,Eslovênia,-,-
Vinhos de mesa,1970,Eslováquia,-,-
Vinhos de mesa,1970,Espanha,261.126,90.159
Vinhos de mesa,1970,Estados Unidos,-,-
Vinhos de mesa,1970,França,91.544,78.135
Vinhos de mesa,1970,Geórgia,-,-
Vinhos de mesa,1970,"Geórgia do Sul e Sandwich do Sul, Ilhas",-,-
Vinhos de mesa,1970,Grécia,-,-
Vinhos de mesa,1970,Hong Kong,-,-
Vinhos de mesa,1970,Hungria,-,-
Vinhos de mesa,1970,Indonésia,-,-
Vinhos de mesa,1970,Irlanda,-,-
Vinhos de mesa,1970,Israel,-,-
Vinhos de mesa,1970,Itália,58.802,32.376
Vinhos de mesa,1970,Japão,-,-
Vinhos de mesa,1970,Iugoslávia,702,326
Vinhos de mesa,1970,Líbano,-,-
Vinhos de mesa,1970,Luxemburgo,-,-
Vinhos de mesa,1970,Macedônia,-,-
Vinhos de mesa,1970,Marrocos,-,-
Vinhos de mesa,1970,México,-,-
Vinhos de mesa,1970,Moldávia,-,-
Vinhos de mesa,1970,Montenegro,-,-
Vinhos de mesa,1970,Noruega,-,-
Vinhos de mesa,1970,Nova Zelândia,-,-
Vinhos de mesa,1970,Países Baixos (Holanda),-,-
Vinhos de mesa,1970,Panamá,-,-
Vinhos de mesa,1970,Paraguai,-,-
Vinhos de mesa,1970,Peru,-,-
Vinhos de mesa,1970,Porto Rico,-,-
Vinhos de mesa,1970,Portugal,785.609,531.480
Vinhos de mesa,1970,Reino Unido,-,-
Vinhos de mesa,1970,Republica Dominicana,-,-
Vinhos de mesa,1970,Romênia,-,-
Vinhos de mesa,1970,Rússia,-,-
Vinhos de mesa,1970,San Marino,-,-
Vinhos de mesa,1970,Sérvia,-,-
Vinhos de mesa,1970,Síria,-,-
Vinhos de mesa,1970,Suazilândia,-,-
Vinhos de mesa,1970,Suíça,-,-
Vinhos de mesa,1970,"Tcheca, República",-,-
Vinhos de mesa,1970,Tunísia,-,-
Vinhos de mesa,1970,Turquia,-,-
Vinhos de mesa,1970,Ucrânia,-,-
Vinhos de mesa,1970,Uruguai,5.767,1.871
Vinhos de mesa,1970,Não consta na tabela,-,-
Vinhos de mesa,1970,Não declarados,-,-
Vinhos de mesa,1970,Outros,5.508,4.255
Vinhos de mesa,1970,Total,1.444.578,883.886
Vinhos de mesa,1971,Africa do Sul,-,-
Vinhos de mesa,1971,Alemanha,34.606,26.027
