Ano,Categoria,Produto,Quantidade(L.)
1970,VINHO DE MESA,-,217.208.604
1970,VINHO DE MESA,Tinto,174.224.052
1970,VINHO DE MESA,Branco,748.400
1970,VINHO DE MESA,Rosado,42.236.152
1970,VINHO FINO DE MESA (VINIFERA),-,23.899.346
1970,VINHO FINO DE MESA (VINIFERA),Tinto,7.591.557
1970,VINHO FINO DE MESA (VINIFERA),Branco,15.562.889
1970,VINHO FINO DE MESA (VINIFERA),Rosado,744.900
1970,SUCO,-,1.097.771
1970,SUCO,Suco de uva integral,1.097.771
1970,SUCO,Suco de uva concentrado,-
1970,SUCO,Suco de uva adoçado,-
1970,SUCO,Suco de uva orgânico,-
1970,SUCO,Suco de uva reconstituído,-
1970,DERIVADOS,-,14.164.329
1970,DERIVADOS,Espumante,-
1970,DERIVADOS,Espumante moscatel,-
1970,DERIVADOS,Base espumante,-
1970,DERIVADOS,Base espumante moscatel,-
1970,DERIVADOS,Base Champenoise champanha,-
1970,DERIVADOS,Base Charmat champanha,-
1970,DERIVADOS,Bebida de uva,-
1970,DERIVADOS,Polpa de uva,-
1970,DERIVADOS,Mosto simples,7.170.736
1970,DERIVADOS,Mosto concentrado,-
1970,DERIVADOS,Mosto de uva com bagaço,-
1970,DERIVADOS,Mosto dessulfitado,-
1970,DERIVADOS,Mistelas,1.072.100
1970,DERIVADOS,Néctar de uva,-
1970,DERIVADOS,Licorosos,282.500
1970,DERIVADOS,Compostos,-
1970,DERIVADOS,Jeropiga,-
1970,DERIVADOS,Filtrado,-
1970,DERIVADOS,Frisante,-
1970,DERIVADOS,Vinho leve,-
1970,DERIVADOS,Vinho licoroso,-
1970,DERIVADOS,Brandy,-
1970,DERIVADOS,Destilado,830.030
1970,DERIVADOS,Bagaceira,961.290
1970,DERIVADOS,Licor de bagaceira,-
1970,DERIVADOS,Vinagre,-
1970,DERIVADOS,Borra líquida,3.847.673
1970,DERIVADOS,Borra seca,-
1970,DERIVADOS,Vinho Composto,-
1970,DERIVADOS,Pisco,-
1970,DERIVADOS,Vinho orgânico,-
